X,F,Fpp,Fps
-1.5,0.690642,-0.0757231,-0.0707396
-1.49,0.689885,-0.0856902,-0.0807067
-1.48,0.689028,-0.0956485,-0.0906693
-1.47,0.688072,-0.105597,-0.100623
-1.46,0.687016,-0.115535,-0.110566
-1.45,0.68586,-0.12546,-0.120497
-1.44,0.684606,-0.135373,-0.130417
-1.43,0.683252,-0.145271,-0.140322
-1.42,0.681799,-0.155155,-0.150213
-1.41,0.680248,-0.165021,-0.160088
-1.4,0.678597,-0.17487,-0.169946
-1.39,0.676849,-0.184701,-0.179785
-1.38,0.675002,-0.194511,-0.189606
-1.37,0.673057,-0.204299,-0.199405
-1.36,0.671014,-0.214065,-0.209182
-1.35,0.668873,-0.223808,-0.218936
-1.34,0.666635,-0.233524,-0.228666
-1.33,0.6643,-0.243214,-0.238369
-1.32,0.661868,-0.252876,-0.248045
-1.31,0.659339,-0.262509,-0.257692
-1.3,0.656714,-0.27211,-0.267309
-1.29,0.653993,-0.281679,-0.276894
-1.28,0.651176,-0.291213,-0.286446
-1.27,0.648264,-0.300712,-0.295962
-1.26,0.645257,-0.310173,-0.305442
-1.25,0.642155,-0.319595,-0.314884
-1.24,0.638959,-0.328976,-0.324285
-1.23,0.635669,-0.338314,-0.333645
-1.22,0.632286,-0.347608,-0.342961
-1.21,0.62881,-0.356855,-0.352231
-1.2,0.625241,-0.366053,-0.361454
-1.19,0.621581,-0.375201,-0.370627
-1.18,0.617829,-0.384296,-0.379749
-1.17,0.613986,-0.393336,-0.388816
-1.16,0.610052,-0.40232,-0.397828
-1.15,0.606029,-0.411243,-0.406782
-1.14,0.601917,-0.420106,-0.415675
-1.13,0.597716,-0.428903,-0.424505
-1.12,0.593427,-0.437635,-0.433269
-1.11,0.58905,-0.446297,-0.441966
-1.1,0.584587,-0.454887,-0.450592
-1.09,0.580039,-0.463402,-0.459144
-1.08,0.575405,-0.47184,-0.467621
-1.07,0.570686,-0.480198,-0.476019
-1.06,0.565884,-0.488472,-0.484335
-1.05,0.560999,-0.49666,-0.492566
-1.04,0.556033,-0.504758,-0.500709
-1.03,0.550985,-0.512763,-0.508761
-1.02,0.545858,-0.520672,-0.516718
-1.01,0.540651,-0.528482,-0.524577
-1,0.535366,-0.536188,-0.532335
-0.99,0.530004,-0.543788,-0.539988
-0.98,0.524566,-0.551277,-0.547533
-0.97,0.519054,-0.558652,-0.554964
-0.96,0.513467,-0.565908,-0.56228
-0.95,0.507808,-0.573042,-0.569475
-0.94,0.502078,-0.58005,-0.576546
-0.93,0.496277,-0.586927,-0.583488
-0.92,0.490408,-0.593669,-0.590298
-0.91,0.484471,-0.600271,-0.59697
-0.9,0.478468,-0.606729,-0.6035
-0.89,0.472401,-0.613038,-0.609884
-0.88,0.466271,-0.619194,-0.616116
-0.87,0.460079,-0.625191,-0.622193
-0.86,0.453827,-0.631025,-0.628108
-0.85,0.447517,-0.63669,-0.633857
-0.84,0.44115,-0.64218,-0.639435
-0.83,0.434728,-0.647492,-0.644836
-0.82,0.428253,-0.652619,-0.650056
-0.81,0.421727,-0.657555,-0.655087
-0.8,0.415151,-0.662296,-0.659926
-0.79,0.408528,-0.666835,-0.664565
-0.78,0.40186,-0.671166,-0.669
-0.77,0.395148,-0.675283,-0.673225
-0.76,0.388395,-0.679181,-0.677232
-0.75,0.381604,-0.682853,-0.681017
-0.74,0.374775,-0.686293,-0.684573
-0.73,0.367912,-0.689494,-0.687894
-0.72,0.361017,-0.692451,-0.690972
-0.71,0.354093,-0.695156,-0.693803
-0.7,0.347141,-0.697603,-0.696379
-0.69,0.340165,-0.699786,-0.698694
-0.68,0.333167,-0.701697,-0.700741
-0.67,0.32615,-0.70333,-0.702514
-0.66,0.319117,-0.704679,-0.704005
-0.65,0.31207,-0.705737,-0.705208
-0.64,0.305013,-0.706496,-0.706117
-0.63,0.297948,-0.706951,-0.706723
-0.62,0.290878,-0.707093,-0.707022
-0.61,0.283807,-0.706917,-0.707005
-0.6,0.276738,-0.706416,-0.706667
-0.59,0.269674,-0.705583,-0.705999
-0.58,0.262618,-0.704411,-0.704997
-0.57,0.255574,-0.702895,-0.703653
-0.56,0.248545,-0.701026,-0.70196
-0.55,0.241535,-0.6988,-0.699913
-0.54,0.234547,-0.69621,-0.697505
-0.53,0.227585,-0.693249,-0.69473
-0.52,0.220652,-0.689913,-0.691581
-0.51,0.213753,-0.686195,-0.688054
-0.5,0.206891,-0.682089,-0.684142
-0.49,0.20007,-0.677591,-0.67984
-0.48,0.193294,-0.672695,-0.675143
-0.47,0.186568,-0.667397,-0.670046
-0.46,0.179894,-0.661693,-0.664545
-0.45,0.173277,-0.655577,-0.658635
-0.44,0.166721,-0.649046,-0.652312
-0.43,0.16023,-0.642098,-0.645572
-0.42,0.153809,-0.634728,-0.638413
-0.41,0.147462,-0.626935,-0.630831
-0.4,0.141193,-0.618715,-0.622825
-0.39,0.135006,-0.610068,-0.614392
-0.38,0.128905,-0.600992,-0.60553
-0.37,0.122895,-0.591486,-0.596239
-0.36,0.11698,-0.581551,-0.586519
-0.35,0.111165,-0.571187,-0.576369
-0.34,0.105453,-0.560394,-0.56579
-0.33,0.0998489,-0.549174,-0.554784
-0.32,0.0943571,-0.53753,-0.543352
-0.31,0.0889818,-0.525464,-0.531497
-0.3,0.0837272,-0.51298,-0.519222
-0.29,0.0785974,-0.500082,-0.506531
-0.28,0.0735965,-0.486775,-0.493429
-0.27,0.0687288,-0.473065,-0.47992
-0.26,0.0639981,-0.458958,-0.466011
-0.25,0.0594086,-0.44446,-0.451709
-0.24,0.054964,-0.42958,-0.43702
-0.23,0.0506682,-0.414326,-0.421953
-0.22,0.0465249,-0.398707,-0.406517
-0.21,0.0425378,-0.382734,-0.390721
-0.2,0.0387105,-0.366417,-0.374575
-0.19,0.0350463,-0.349767,-0.358092
-0.18,0.0315487,-0.332796,-0.341282
-0.17,0.0282207,-0.315518,-0.324157
-0.16,0.0250655,-0.297946,-0.306732
-0.15,0.0220861,-0.280093,-0.289019
-0.14,0.0192851,-0.261975,-0.271034
-0.13,0.0166654,-0.243607,-0.252791
-0.12,0.0142293,-0.225006,-0.234307
-0.11,0.0119792,-0.206187,-0.215596
-0.1,0.00991737,-0.187167,-0.196677
-0.09,0.0080457,-0.167965,-0.177566
-0.08,0.00636605,-0.148598,-0.158281
-0.07,0.00488007,-0.129084,-0.138841
-0.06,0.00358923,-0.109443,-0.119264
-0.05,0.0024948,-0.0896933,-0.0995682
-0.04,0.00159787,-0.0698544,-0.0797739
-0.03,0.000899326,-0.0499459,-0.0599001
-0.02,0.000399867,-0.0299875,-0.0399667
-0.01,9.99917e-05,-0.00999917,-0.0199933
0,0,0.00999917,0
0.01,9.99917e-05,0.0299875,0.0199933
0.02,0.000399867,0.0499459,0.0399667
