X,F,Fvs,Fv4
-1.5,0.690642,-0.997575,-0.997479
-1.49,0.689885,-0.996702,-0.996711
-1.48,0.689028,-0.995829,-0.995838
-1.47,0.688072,-0.994851,-0.99486
-1.46,0.687016,-0.993765,-0.993774
-1.45,0.68586,-0.99257,-0.992579
-1.44,0.684606,-0.991265,-0.991275
-1.43,0.683252,-0.989848,-0.989858
-1.42,0.681799,-0.988317,-0.988327
-1.41,0.680248,-0.98667,-0.98668
-1.4,0.678597,-0.984904,-0.984914
-1.39,0.676849,-0.983018,-0.983028
-1.38,0.675002,-0.981008,-0.981018
-1.37,0.673057,-0.978872,-0.978883
-1.36,0.671014,-0.976607,-0.976618
-1.35,0.668873,-0.97421,-0.974221
-1.34,0.666635,-0.971678,-0.971689
-1.33,0.6643,-0.969007,-0.969019
-1.32,0.661868,-0.966195,-0.966207
-1.31,0.659339,-0.963236,-0.963249
-1.3,0.656714,-0.960128,-0.960141
-1.29,0.653993,-0.956867,-0.95688
-1.28,0.651176,-0.953447,-0.953461
-1.27,0.648264,-0.949865,-0.949879
-1.26,0.645257,-0.946117,-0.946131
-1.25,0.642155,-0.942197,-0.942211
-1.24,0.638959,-0.9381,-0.938115
-1.23,0.635669,-0.933822,-0.933838
-1.22,0.632286,-0.929357,-0.929373
-1.21,0.62881,-0.9247,-0.924716
-1.2,0.625241,-0.919844,-0.919861
-1.19,0.621581,-0.914785,-0.914802
-1.18,0.617829,-0.909516,-0.909534
-1.17,0.613986,-0.90403,-0.904048
-1.16,0.610052,-0.898322,-0.898341
-1.15,0.606029,-0.892384,-0.892403
-1.14,0.601917,-0.88621,-0.88623
-1.13,0.597716,-0.879792,-0.879813
-1.12,0.593427,-0.873124,-0.873146
-1.11,0.58905,-0.866198,-0.866221
-1.1,0.584587,-0.859007,-0.859029
-1.09,0.580039,-0.851541,-0.851565
-1.08,0.575405,-0.843794,-0.843818
-1.07,0.570686,-0.835757,-0.835782
-1.06,0.565884,-0.827421,-0.827447
-1.05,0.560999,-0.818778,-0.818805
-1.04,0.556033,-0.80982,-0.809847
-1.03,0.550985,-0.800536,-0.800563
-1.02,0.545858,-0.790917,-0.790946
-1.01,0.540651,-0.780955,-0.780985
-1,0.535366,-0.77064,-0.77067
-0.99,0.530004,-0.759961,-0.759992
-0.98,0.524566,-0.748909,-0.748941
-0.97,0.519054,-0.737473,-0.737506
-0.96,0.513467,-0.725644,-0.725678
-0.95,0.507808,-0.713411,-0.713446
-0.94,0.502078,-0.700763,-0.700799
-0.93,0.496277,-0.68769,-0.687727
-0.92,0.490408,-0.674181,-0.674219
-0.91,0.484471,-0.660225,-0.660264
-0.9,0.478468,-0.645811,-0.64585
-0.89,0.472401,-0.630928,-0.630968
-0.88,0.466271,-0.615566,-0.615606
-0.87,0.460079,-0.599711,-0.599753
-0.86,0.453827,-0.583355,-0.583398
-0.85,0.447517,-0.566486,-0.566529
-0.84,0.44115,-0.549092,-0.549136
-0.83,0.434728,-0.531162,-0.531208
-0.82,0.428253,-0.512687,-0.512733
-0.81,0.421727,-0.493655,-0.493702
-0.8,0.415151,-0.474055,-0.474103
-0.79,0.408528,-0.453877,-0.453926
-0.78,0.40186,-0.433112,-0.433162
-0.77,0.395148,-0.411748,-0.411799
-0.76,0.388395,-0.389778,-0.389829
-0.75,0.381604,-0.36719,-0.367242
-0.74,0.374775,-0.343978,-0.344031
-0.73,0.367912,-0.320132,-0.320185
-0.72,0.361017,-0.295644,-0.295698
-0.71,0.354093,-0.270508,-0.270562
-0.7,0.347141,-0.244716,-0.244771
-0.69,0.340165,-0.218264,-0.218319
-0.68,0.333167,-0.191145,-0.1912
-0.67,0.32615,-0.163355,-0.163411
-0.66,0.319117,-0.134891,-0.134947
-0.65,0.31207,-0.10575,-0.105807
-0.64,0.305013,-0.0759315,-0.075988
-0.63,0.297948,-0.0454338,-0.0454903
-0.62,0.290878,-0.0142581,-0.0143145
-0.61,0.283807,0.0175937,0.0175376
-0.6,0.276738,0.0501183,0.0500626
-0.59,0.269674,0.083311,0.0832558
-0.58,0.262618,0.117166,0.117111
-0.57,0.255574,0.151675,0.151621
-0.56,0.248545,0.186829,0.186776
-0.55,0.241535,0.222617,0.222566
-0.54,0.234547,0.259027,0.258976
-0.53,0.227585,0.296043,0.295994
-0.52,0.220652,0.333649,0.333601
-0.51,0.213753,0.371826,0.37178
-0.5,0.206891,0.410553,0.410509
-0.49,0.20007,0.449809,0.449767
-0.48,0.193294,0.489567,0.489527
-0.47,0.186568,0.5298,0.529763
-0.46,0.179894,0.570479,0.570444
-0.45,0.173277,0.611571,0.61154
-0.44,0.166721,0.653043,0.653014
-0.43,0.16023,0.694857,0.694831
-0.42,0.153809,0.736973,0.736952
-0.41,0.147462,0.779351,0.779333
-0.4,0.141193,0.821946,0.821932
-0.39,0.135006,0.864711,0.864701
-0.38,0.128905,0.907598,0.907592
-0.37,0.122895,0.950554,0.950552
-0.36,0.11698,0.993525,0.993529
-0.35,0.111165,1.03646,1.03646
-0.34,0.105453,1.07929,1.0793
-0.33,0.0998489,1.12196,1.12198
-0.32,0.0943571,1.16441,1.16444
-0.31,0.0889818,1.20658,1.20661
-0.3,0.0837272,1.24839,1.24843
-0.29,0.0785974,1.28979,1.28983
-0.28,0.0735965,1.33069,1.33074
-0.27,0.0687288,1.37104,1.37109
-0.26,0.0639981,1.41075,1.41081
-0.25,0.0594086,1.44977,1.44983
-0.24,0.054964,1.488,1.48807
-0.23,0.0506682,1.52539,1.52547
-0.22,0.0465249,1.56186,1.56194
-0.21,0.0425378,1.59733,1.59742
-0.2,0.0387105,1.63173,1.63183
-0.19,0.0350463,1.66499,1.6651
-0.18,0.0315487,1.69705,1.69715
-0.17,0.0282207,1.72782,1.72793
-0.16,0.0250655,1.75724,1.75736
-0.15,0.0220861,1.78525,1.78538
-0.14,0.0192851,1.81179,1.81192
-0.13,0.0166654,1.83678,1.83691
-0.12,0.0142293,1.86017,1.86031
-0.11,0.0119792,1.88191,1.88206
-0.1,0.00991737,1.90195,1.9021
-0.09,0.0080457,1.92023,1.92038
-0.08,0.00636605,1.93671,1.93686
-0.07,0.00488007,1.95135,1.95151
-0.06,0.00358923,1.96412,1.96427
-0.05,0.0024948,1.97497,1.97513
-0.04,0.00159787,1.98389,1.98405
-0.03,0.000899326,1.99085,1.99102
-0.02,0.000399867,1.99584,1.996
-0.01,9.99917e-05,1.99883,1.999
0,0,1.99983,2
0.01,9.99917e-05,1.99883,1.999
0.02,0.000399867,1.99584,1.996
0.03,0.000899326,1.99085,1.99102
